entityId|domainId|orgId|tagId|color
43|22|25|1|NULL
43|4|25|1|NULL
43|4|25|3|NULL
43|318|25|1|NULL
43|318|25|2|NULL
43|318|25|6|NULL
43|9390|25|2|NULL
43|9390|25|3|NULL
43|15920|25|4|NULL
43|15798|25|2|NULL
43|15798|25|6|NULL
43|15939|25|2|NULL
43|510|25|2|NULL
43|510|25|6|NULL
43|15827|25|3|NULL
43|23950|25|2|NULL
43|496|25|6|NULL
43|17955|25|2|NULL
43|182797|25|3|NULL
43|14|25|3|NULL
43|2|25|5|NULL
43|12|25|5|NULL
43|191601|25|5|NULL
43|8|25|5|NULL
43|1266|25|3|NULL
43|168|25|3|NULL
43|182|25|3|NULL
43|16102|25|3|NULL
43|70|25|3|NULL
43|15940|25|6|NULL
43|211|25|2|NULL
43|16746|25|3|NULL
43|5|25|3|NULL
43|8846|25|4|NULL
43|8846|25|3|NULL
43|8846|25|6|NULL
43|15776|25|4|NULL
43|15910|25|3|NULL
43|15910|25|4|NULL
43|200|25|4|NULL
43|200|25|5|NULL
43|15762|25|2|NULL
