id|name|batch|migration_time
1|20170714023101_tables.js|1|2017-07-31 21:22:49
2|20170715015516_fks.js|1|2017-07-31 21:22:50
3|20170715123100_clients.js|1|2017-07-31 21:22:51
4|20170716120304_roles_permissions.js|1|2017-07-31 21:22:51
5|20170716211914_groups.js|1|2017-07-31 21:22:51
6|20170726101155_senders-helper-table.js|1|2017-07-31 21:22:51
7|20170729051515_org-logo.js|1|2017-07-31 21:22:51
8|20170730232842_favorites-icon.js|1|2017-07-31 21:22:52
9|20170802071623_notifications.js|2|2017-08-08 17:56:01
10|20170802164137_entities_domains.js|2|2017-08-08 17:56:02
11|20170805024809_categories.js|2|2017-08-08 17:56:02
12|20170805031104_global-domains.js|2|2017-08-08 17:56:03
13|20170905025322_user-data.js|3|2017-09-05 12:05:48
14|20170914105720_entities_tree.js|4|2017-09-18 03:50:40
15|20170917015813_state_viewers.js|5|2017-09-20 13:40:46
16|20171019143906_events_patitions.js|6|2017-10-21 16:57:10
17|20171101164122_events_tables.js|7|2017-11-04 09:50:48
18|20180226043324_collector-id.js|8|2018-03-04 08:11:23
19|20180308144652_sync-staging.js|9|2018-03-09 19:45:14
20|20180415223603_logs-success-flag.js|10|2018-04-15 21:59:53
21|20180414134429_device-id.js|11|2018-04-16 00:05:25
22|20180413200329_sync-procedures.js|12|2018-04-16 00:06:00
23|20180417161204_helpers-tables-type-field.js|13|2018-04-17 21:15:29
24|20180406114456_orphan-tables.js|14|2018-04-17 21:24:17
25|20180418112013_entities-display-name.js|15|2018-04-18 09:23:39
26|20180419002023_devices-table-unique-constraint.js|16|2018-04-18 22:50:58
28|20180328193758_favorites.js|18|2018-04-19 10:57:43
32|20180421112139_stored-procedures-orgs.js|20|2018-04-23 12:48:22
33|20180419005226_stored-procedures.js|21|2018-04-23 12:49:13
34|20180425191922_favorites-sync-flag.js|22|2018-04-25 22:18:53
35|20180502053055_stored-procedures.js|23|2018-05-02 03:49:55
36|20190311222009_add-admin-category.js|24|2019-04-05 19:23:42
37|20190311225028_resources-tags.js|25|2019-04-05 19:23:54
40|20190326202447_custom-reports-helper-table.js|28|2019-04-09 13:10:26
41|20190406001631_custom-reports-table-indices.js|29|2019-04-10 13:09:59
44|20190325175447_custom-reports-views.js|30|2019-04-25 02:18:06
46|20190505181319_custom-reports-presets.js|31|2019-06-01 20:06:02
